id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
776,closed,parkr,employee,tnm,volunter,0,5,1,0,1,NA,"(0,1]",NA,"(0,1]"
767,closed,parkr,employee,arfon,volunter,443,4,87,355,0,"(365,Inf]","(30,180]","(180,365]",NA
3773,closed,rewinfrey,employee,rewinfrey,employee,22,3,22,0,0,"(1,30]","(1,30]",NA,NA
207,closed,josh,employee,josh,employee,0,0,null,null,null,NA,NA,NA,NA
206,closed,josh,employee,josh,employee,28,0,null,null,null,"(1,30]",NA,NA,NA
203,closed,josh,employee,josh,employee,13,0,null,null,null,"(1,30]",NA,NA,NA
182,closed,josh,employee,josh,employee,0,1,0,0,0,NA,NA,NA,NA
28,closed,josh,employee,josh,employee,0,0,null,null,null,NA,NA,NA,NA
27,closed,josh,employee,josh,employee,0,0,null,null,null,NA,NA,NA,NA
5,closed,josh,employee,josh,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
4,closed,josh,employee,josh,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
3607,closed,lildude,employee,lildude,employee,4,10,4,0,0,"(1,30]","(1,30]",NA,NA
3605,open,Caged,employee,null,volunter,null,2,72,0,null,NA,"(30,180]",NA,NA
3425,closed,kivikakk,employee,brandonblack,volunter,0,10,0,0,0,NA,NA,NA,NA
3121,closed,veesa,employee,larsbrinkhoff,volunter,38,4,38,0,0,"(30,180]","(30,180]",NA,NA
3120,closed,veesa,employee,pchaigno,volunter,0,1,0,0,0,NA,NA,NA,NA
2754,closed,lee-dohm,employee,arfon,volunter,0,2,0,0,0,NA,NA,NA,NA
4011,closed,lildude,employee,lildude,employee,1,2,1,0,0,"(0,1]","(0,1]",NA,NA
2195,closed,bkeepers,employee,arfon,volunter,369,9,369,0,0,"(365,Inf]","(365,Inf]",NA,NA
2190,closed,bkeepers,employee,arfon,volunter,27,1,0,27,0,"(1,30]",NA,"(1,30]",NA
2126,closed,bkeepers,employee,bkeepers,employee,0,8,3,0,3,NA,"(1,30]",NA,"(1,30]"
2028,closed,meatcoder,employee,arfon,volunter,0,2,9,0,9,NA,"(1,30]",NA,"(1,30]"
3924,open,vmg,employee,Alhadis,volunter,null,16,74,0,null,NA,"(30,180]",NA,NA
1943,closed,parkr,employee,aroben,volunter,2,7,3,0,1,"(1,30]","(1,30]",NA,"(0,1]"
1740,closed,bkeepers,employee,arfon,volunter,143,6,143,0,0,"(30,180]","(30,180]",NA,NA
1651,closed,bkeepers,employee,bkeepers,employee,0,3,0,0,0,NA,NA,NA,NA
1649,closed,bkeepers,employee,arfon,volunter,84,13,84,0,0,"(30,180]","(30,180]",NA,NA
1640,closed,samlambert,employee,jlord,volunter,2,10,1,0,0,"(1,30]","(0,1]",NA,NA
