"","id","state","user","employee_open","user_closed","employee_merged","days_opened","number_of_comments","days_between_first_and_last_comment","days_first_comment_after_creation","days_last_comment_before_closed","days_opened_group","days_between_first_and_last_comment_group","days_first_comment_after_creation_group","days_last_comment_before_closed_group"
"1",1027,"closed","ScrimpyCat","volunter","null","volunter","487",0,"null","null","null","(365,Inf]",NA,NA,NA
"2",1965,"closed","aroben","volunter","arfon","volunter","426",0,"null","null","null","(365,Inf]",NA,NA,NA
"3",2006,"closed","pchaigno","volunter","brandonblack","volunter","687",4,"406","4","276","(365,Inf]","(365,Inf]","(1,30]","(180,365]"
"4",2070,"closed","R4PaSs","volunter","lildude","employee","832",0,"null","null","null","(365,Inf]",NA,NA,NA
"5",2146,"closed","pchaigno","volunter","arfon","volunter","381",0,"null","null","null","(365,Inf]",NA,NA,NA
"6",2709,"closed","JJ","volunter","null","volunter","430",14,"174","0","255","(365,Inf]","(30,180]",NA,"(180,365]"
"7",2735,"closed","tschf","volunter","lildude","employee","522",2,"0","520","1","(365,Inf]",NA,"(365,Inf]","(0,1]"
"8",301,"closed","andyli","volunter","tnm","volunter","447",0,"null","null","null","(365,Inf]",NA,NA,NA
"9",3157,"closed","ruprict","volunter","null","volunter","478",1,"0","340","137","(365,Inf]",NA,"(180,365]","(30,180]"
"10",3196,"closed","mwpastore","volunter","null","volunter","394",0,"null","null","null","(365,Inf]",NA,NA,NA
"11",320,"closed","brianmario","employee","null","volunter","487",0,"null","null","null","(365,Inf]",NA,NA,NA
"12",3366,"closed","samcv","volunter","null","volunter","511",0,"null","null","null","(365,Inf]",NA,NA,NA
"13",341,"closed","adhithyan15","volunter","null","volunter","471",0,"null","null","null","(365,Inf]",NA,NA,NA
"14",366,"closed","agentzh","volunter","null","volunter","451",0,"null","null","null","(365,Inf]",NA,NA,NA
"15",417,"closed","upsuper","volunter","null","volunter","608",0,"null","null","null","(365,Inf]",NA,NA,NA
"16",517,"closed","Turbo87","volunter","null","volunter","387",0,"null","null","null","(365,Inf]",NA,NA,NA
"17",557,"closed","rodnaph","volunter","null","volunter","451",0,"null","null","null","(365,Inf]",NA,NA,NA
"18",600,"closed","larsbrinkhoff","volunter","null","volunter","482",0,"null","null","null","(365,Inf]",NA,NA,NA
"19",646,"closed","larsbrinkhoff","volunter","null","volunter","454",0,"null","null","null","(365,Inf]",NA,NA,NA
